brand,source,text,url,published_at,collected_at
Flipkart,news,"Flipkart, Amazon, Meesho top list of e-commerce firms facing most complaints on NCH in 2025. Flipkart and Amazon received the highest number of consumer complaints in 2025.  Meesho and Myntra also featured prominently on the list of e-commerce platforms.  The National Consumer Helpline facilitated over 91 crore in refunds to consumers.  Non-delivery …",https://economictimes.indiatimes.com/news/company/corporate-trends/flipkart-and-amazon-lead-in-consumer-complaints-on-national-consumer-helpline-in-2025/articleshow/133186542.cms,2026-08-12T15:12:22Z,2026-08-13T17:00:06.788930+00:00
Flipkart,news,"Flipkart Esop case: Could a buyback of unexercised options mean lower tax bill?. The ruling does not automatically make every unexercised Esop buyback tax-efficient, say experts.",https://www.livemint.com/money/personal-finance/flipkart-esop-buyback-tax-ltcg-salary-income-itat-ruling-11786518301770.html,2026-08-12T08:45:40Z,2026-08-13T17:00:06.788953+00:00
Flipkart,news,"Accel bets $550 million on India's next wave of founders for AI era. Venture capital firm behind Flipkart and Swiggy closes ninth India fund as part of a record $3.5 billion global raise, betting AI lets homegrown startups build for the world from day one",https://www.business-standard.com/companies/news/accel-bets-550-million-on-india-s-next-wave-of-founders-for-ai-era-126081101831_1.html,2026-08-12T00:30:16Z,2026-08-13T17:00:06.788958+00:00
Flipkart,news,"Flipkart deepens Tamil Nadu partnership, expands digital commerce, tech. Flipkart on Tuesday said it is deepening its partnership with the Tamil Nadu government as the e-commerce major expands its digital commerce, technology infrastructure and supply-chain operations in the state, connecting manufacturing clusters and small busin…",https://www.business-standard.com/companies/news/flipkart-deepens-tamil-nadu-partnership-expands-digital-commerce-tech-126081100660_1.html,2026-08-11T17:16:45Z,2026-08-13T17:00:06.788961+00:00
Flipkart,news,"Flipkart deepens Tamil Nadu partnership, expands digital commerce, tech, supply-chain footprint. Flipkart says that nearly 70,000 sellers from TN are using its platform to access customers nationwide, reflecting Tamil Nadu’s importance in the e-commerce giant’s long-term growth story",https://www.thehindubusinessline.com/companies/flipkart-deepens-tamil-nadu-partnership-expands-digital-commerce-tech-supply-chain-footprint/article71331322.ece,2026-08-11T07:00:41Z,2026-08-13T17:00:06.788965+00:00
Flipkart,news,"iPhone 17 gets Rs 32,585 effective price with exchange offer. The iPhone 17 is listed at Rs 81,900 on Flipkart, with an exchange offer potentially bringing the effective price to Rs 32,585.",https://m.economictimes.com/news/new-updates/iphone-17-gets-rs-32585-effective-price-with-exchange-offer/iphone-17-price-on-flipkart/slideshow/133071001.cms,2026-08-09T16:23:43Z,2026-08-13T17:00:06.788968+00:00
Flipkart,news,"Apple iPhone 17 price drops to Rs 32,885 on Flipkart? Check Flipkart Freedom Sale offers, exchange deal and bank discounts. Grab the chance to purchase the Apple iPhone 17 at a special price during the Flipkart Freedom Sale. This stunning smartphone showcases a 6.3-inch OLED display driven by Apple's advanced A19 chip. You can enhance your savings further by trading in your iPhone…",https://economictimes.indiatimes.com/news/new-updates/apple-iphone-17-price-drops-to-rs-32885-on-flipkart-check-flipkart-freedom-sale-offers-exchange-deal-and-bank-discounts/articleshow/133061882.cms,2026-08-09T03:48:58Z,2026-08-13T17:00:06.788971+00:00
Flipkart,news,"Flipkart Minutes enters premium grocery segment, launches pvt label Pykd. The move comes as quick-commerce companies expand beyond everyday grocery products and seek to attract customers with higher-value purchases",https://www.business-standard.com/companies/news/flipkart-minutes-enters-premium-grocery-launches-private-label-pykd-126080800786_1.html,2026-08-08T10:54:28Z,2026-08-13T17:00:06.788973+00:00
Flipkart,news,"iPhone 17 might get price increase next week, per new rumor - 9to5Mac. iPhone 17 might get price increase next week, per new rumor9to5Mac A future iPhone price hike could make today's Flipkart deals look even betterHindustan Times iPhone 17 Prices Could Rise as Soon as Monday, Rumor ClaimsMacRumors Apple indirectly announced to …",https://slashdot.org/firehose.pl?op=view&amp;id=184897576,2026-08-08T10:13:00Z,2026-08-13T17:00:06.788977+00:00
Flipkart,news,"Exciting new tablets are landing on Flipkart this Independence Day. Flipkart's much-anticipated Freedom Sale kicks off on August 7th, showcasing an exciting lineup of four new tablets. Among these, the Asus Pad stands out with its vibrant OLED display, enhancing your viewing pleasure. The HP OmniPad 12 offers versatility, eas…",https://economictimes.indiatimes.com/industry/cons-products/exciting-new-tablets-are-landing-on-flipkart-this-independence-day/articleshow/133034365.cms,2026-08-07T13:07:05Z,2026-08-13T17:00:06.788980+00:00
Flipkart,news,"New tablets coming to Flipkart: What buyers can expect. Business News: Tablets have increasingly moved beyond being secondary screens, with newer models offering features aimed at entertainment, productivity and everyday .",https://timesofindia.indiatimes.com/business/new-tablets-coming-to-flipkart-what-buyers-can-expect/articleshow/133031216.cms,2026-08-07T10:44:00Z,2026-08-13T17:00:06.788984+00:00
